ID;Source;title;creator;date;publisher;Ville
1;34893606;Enseigner l'informatique : l'expérience d'option informatique en second cycle long 81-84 / C.R.D.P;Centre régional de documentation pédagogique (Poitiers). Auteur du texte;1985;C.R.D.P. ;Poitiers, France
2;35275717;Informatique et enseignement : compte rendu / de la Journée [du] C.R.D.P. [Centre régional de documentation pédagogique], Poitiers, 11 octobre 1972;Centre Régional De Documentation Pédagogique [Poitiers.] Journées. [1972, 11 octobre. Poitiers.]. Auteur du texte;1972;C.R.D.P. ;Poitiers, France
3;36622106;Rapport au Président de la République et au Parlement : 1985, prévu par l'article 23 de la loi du 6 janvier 1978 (6e rapport) Commission nationale de l'informatique et des libertés;France. Commission nationale de l'informatique et des libertés. Auteur du texte;1986;La Documentation française ;Paris, France
4;34867243;Imagiciels : l'ordinateur, outil pédagogique collectif dans la classe de mathématiques / C.R.D.P. [Centre régional de documentation pédagogique], Poitiers;Centre régional de documentation pédagogique (Poitiers). Auteur du texte;1986;C.R.D.P. ;Angoulême, France
5;34936186;L' Informatique dans les lycées : comparaison de différents modes d'approches et d'appropriation de l'informatique en seconds cycles long et court / CRDP [Centre régional de documentation pédagogique] de Poitiers, Ministère de l'éducation nationale, Direction des lycées;Centre régional de documentation pédagogique (Poitiers). Auteur du texte~France. Direction des lycées. Auteur du texte;1987;C.R.D.P. ;Strasbourg, France
6;35008254;Thèmes de projets pour l'enseignement de l'informatique : analyse et réflexions sur des thèmes de travail autonome des élèves de l'option informatique des lycées / OIL-PC [Option informatique des lycées en Poitou-Charentes], [sous la dir. de Alexis Vasseur];Option informatique des lycées en Poitou-Charentes. Auteur du texte;1989;C.R.D.P. ;Poitiers France
7;34867208;Lire avec l'ordinateur : intégration du logiciel ELMO 0 dans une stratégie d'apprentissage de la lecture / C.R.D.P. [Centre régional de documentation pédagogique], Poitiers;Centre régional de documentation pédagogique (Poitiers). Auteur du texte;1985;C.R.D.P. ;Tours, France
8;38083203;Le Micro-ordinateur à coeur ouvert : historique et approche technologique de la micro-informatique / par C. Lebon;Raymond Vogel, Marc Le Méner;1981;;Lyon, France
9;38343470;Movie toolbook regressi : trois outils au service de l'enseignement des sciences physiques au lycée. logiciel fonction. applications toolbook 3.0 / sous la responsabilité de Raymond Vogel, Marc Le Méner, rédacteur;Vogel, Raymond (1942-....). Éditeur scientifique~Le Méner, Marc. Rédacteur;1996;;Toulouse, France
10;38165745;La Technologie au collège, Agencement des locaux / J L PENICHOU, real;Penichou, J.-L.. Réalisateur;1987;;Compiègne, France
11;35356716;Initiation à la logique de la programmation : préalable indispensable à l'étude du COBOL / [publié par le] Ministère des Armées, Armée de Terre, Direction centrale des Transmissions, Division de l'Informatique;France. Direction centrale des transmission de l'Armée de terre. Division Informatique. Auteur du texte;1973;La Documentation française ;Paris, France
12;35354577;Cobol : langage de programmation des ordinateurs pour les applications de gestion / Ministère des armées, Armée de terre, Direction centrale des transmissions, Division de l'informatique;France. Direction centrale des transmission de l'Armée de terre. Division Informatique. Auteur du texte;1973;La Documentation française ;Paris, France
13;34990173;Technologie des ordinateurs et enseignement de l'option informatique / Ministère de l'éducation nationale, Direction des lycées et collèges, [publ. par le] CRDP [Centre régional de documentation pédagogique] Poitiers;France. Direction des lycées et collèges. Auteur du texte;1987;C.R.D.P. ;Poitiers, France
14;34772209;L'Informatique à l'école primaire et à la maternelle : un jouet programmable, le Bigtrak / Jean-François Cerisier,...;Cerisier, Jean-François. Auteur du texte;1984;C.R.D.P. ;Angers, France
15;34990188;Pratiques et savoir-faire des élèves de l'option informatique / Ministère de l'éducation nationale, Direction des lycées et collèges, [publ. par le] CRDP [Centre régional de documentation pédagogique] Poitiers;France. Direction des lycées et collèges. Auteur du texte;1987;C.R.D.P. ;Toulon, France
16;38274771;Suites probalités : première et terminales / J.L. Durpaire, dir. publication;Durpaire, Jean-Louis. Compositeur;1992;;Marseille, France
17;38274776;Géoplan : premières et terminales / J.L. Durpaire, dir. publication;Durpaire, Jean-Louis. Compositeur;1992;;Nice, France
18;38274774;Géométrie dans l'espace : premières et terminales / J.L. Durpaire, dir. publication;Durpaire, Jean-Louis. Compositeur;1992;;Marseille, France
19;38229640;Images logicielles mathématiques en seconde / Bureau des innovations pédagogiques et des technologies nouvelles, aut, Centre de recherche et d'expérimentation pour l'enseignement des mathématiques, aut;Bureau des innovations pédagogiques et des technologies nouvelles (Paris). Auteur du texte~Centre de recherches et d'expérimentation pour l'enseignement des mathématiques (Paris). Auteur ou responsable intellectuel;1991;;Avignon, France
20;34978450;L'Option informatique, réalités et pratiques / Direction des lycées et collèges, Ministère de l'Éducation nationale;France. Direction des lycées et collèges. Auteur du texte;1986;C.R.D.P. ;Rennes, France
21;35778268;Le paradigme informatique : technologie et évolutions sociales : [textes des communications du colloque, Poitiers, 9-10 décembre 1993] / [organisé par la Fondation pour l'innovation et la prospective, à la demande du Syndicat des fabricants de matériels informatiques et bureautiques], sous la dir. de Christopher Freeman et Henri Mendras;Christopher Freeman, Henri Mendras;1995;Descartes ;Paris, France
22;35804431;Contribution des technologies nouvelles aux stratégies d'aide aux élèves en difficulté / brochure élaborée par le [Ministère de l'Éducation nationale,] Direction de l'information et des technologies nouvelles, Sous-direction des technologies nouvelles, Bureau des technologies nouvelles pour l'enseignement, en liaison avec [le Ministère de l'Education nationale,] Direction des lycées et collèges, coord., Alain Elie,... Michel Denise, Jean-François Berthon;France. Ministère de l'éducation nationale (1993-1995). Bureau des technologies nouvelles pour l'enseignement. Auteur du texte~France. Direction des lycées et collèges. Auteur du texte;1995;C.R.D.P. ;Poitiers France
